"","smoking_grp","stage","n","YEAR","predicted_cost","lower_CI","upper_CI","se"
"134","smokers","Stage III",1,14,278.437529873274,118.915243468364,437.959816278184,81.3889216351582
"135","smokers","Stage III",1,15,189.238614261246,70.6669180856353,307.810310436857,60.4957633549035
"136","smokers","Stage III",1,16,128.615036715113,41.0964468969823,216.133626533244,44.6523417439444
"137","smokers","Stage III",1,17,87.4125385762646,23.2030849165176,151.621992236012,32.7599253366056
"138","smokers","Stage III",1,18,59.4094757152843,12.5475830378014,106.271368392767,23.9091289170831
"139","smokers","Stage III",1,19,40.3773401648277,6.33297349708364,74.4217068325717,17.3695748304816
"140","smokers","Stage III",1,20,27.4422485497001,2.80966331179888,52.0748337876014,12.5676455295415
"141","smokers","Stage IV",1,1,52507.1643098045,44539.9824189769,60474.346200632,4064.88871980997
"142","smokers","Stage IV",1,2,42382.8263212947,36421.9446767735,48343.7079658159,3041.26614516386
"143","smokers","Stage IV",1,3,32942.5994533812,26332.9450505397,39552.2538562227,3372.27265451097
"144","smokers","Stage IV",1,4,23904.0292967114,18338.0399387705,29470.0186546523,2839.79048874536
"145","smokers","Stage IV",1,5,16067.7717578446,12190.0466296032,19945.4968860859,1978.43118787825
"146","smokers","Stage IV",1,6,10195.0252434352,7545.54604882887,12844.5044380416,1351.77509928895
"147","smokers","Stage IV",1,7,6314.42969248681,4558.85939537964,8069.99998959399,895.699131177128
"148","smokers","Stage IV",1,8,3934.4739857036,2799.05664723112,5069.89132417607,579.294560445139
"149","smokers","Stage IV",1,9,2498.94143289834,1586.84105207929,3411.04181371739,465.357337152577
"150","smokers","Stage IV",1,10,1609.37146485343,728.413699931902,2490.32922977497,449.468247408945
"151","smokers","Stage IV",1,11,1039.0936764455,229.114733070511,1849.07261982049,413.254562946423
"152","smokers","Stage IV",1,12,670.892762801253,0,1360.44333708526,351.81151749184
"153","smokers","Stage IV",1,13,433.163158800828,0,988.885682968791,283.531900085695
"154","smokers","Stage IV",1,14,279.672598283633,0,710.790783304954,219.958257663939
"155","smokers","Stage IV",1,15,180.571132704948,0,505.967515339287,166.01856256854
"156","smokers","Stage IV",1,16,116.586087326582,0,357.194959101888,122.759628456789
"157","smokers","Stage IV",1,17,75.2740238957864,0,250.387084749834,89.3433983949224
"158","smokers","Stage IV",1,18,48.6008133851449,0,174.450505384143,64.2090265301009
"159","smokers","Stage IV",1,19,31.3792054609412,0,120.903383711132,45.6756011480568
"160","smokers","Stage IV",1,20,20.2600423074592,0,83.4065878309996,32.2176252671125
