"YEAR","smoking_grp","stage","predicted_cost","se"
3,"smokers","Stage IV",35196.3599597626,3689.42987448227
4,"smokers","Stage IV",26370.455531965,3300.70630495374
5,"smokers","Stage IV",18299.9785535635,2488.44631986586
6,"smokers","Stage IV",11959.9748783031,1821.89951023994
7,"smokers","Stage IV",7594.77989681447,1274.27861325223
8,"smokers","Stage IV",4823.6089076543,859.524940691692
9,"smokers","Stage IV",3106.81201204247,665.630277085201
10,"smokers","Stage IV",2023.36544654075,604.088495608115
11,"smokers","Stage IV",1320.46504857263,541.31399788586
12,"smokers","Stage IV",861.746427212604,458.025306451711
13,"smokers","Stage IV",562.382855658631,369.841729888975
14,"smokers","Stage IV",367.015709437606,288.520656871693
15,"smokers","Stage IV",239.517491720539,219.395820402306
16,"smokers","Stage IV",156.31109885734,163.613449739402
17,"smokers","Stage IV",102.009917732843,120.169455437744
18,"smokers","Stage IV",66.5725171912375,87.1913430408085
19,"smokers","Stage IV",43.4457760938933,62.6363793403107
20,"smokers","Stage IV",28.3530733106959,44.6256486026657
